First Name,Last Name,Email,Employment Status,ID
Abby,Coombs,abby.coombs@certnif.co,"Employee - FT",460
Marcus,Teller,marcus.teller@certnif.co,"Employee - FT",461
Priya,Nandakumar,priya.nandakumar@certnif.co,"Employee - PT",462
Jordan,Hale,jordan.hale@certnif.co,"Contractor",463
Sofia,Brennan,sofia.brennan@certnif.co,"Employee - FT",464
Devon,Ashworth,devon.ashworth@certnif.co,"Employee - PT",465
Layla,Osei,layla.osei@certnif.co,"Employee - FT",466
Nathan,Correia,nathan.correia@certnif.co,"Contractor",467
Camille,Fontaine,camille.fontaine@certnif.co,"Employee - FT",468
Rishi,Kapoor,rishi.kapoor@certnif.co,"Employee - PT",469
Tessa,Holbrook,tessa.holbrook@certnif.co,"Employee - FT",470
Owen,Macintyre,owen.macintyre@certnif.co,"Contractor",471
Aisha,Patel,aisha.patel@certnif.co,"Employee - FT",472
Brendan,Whitfield,brendan.whitfield@certnif.co,"Employee - PT",473
Clara,Munoz,clara.munoz@certnif.co,"Employee - FT",474
Elliot,Garner,elliot.garner@certnif.co,"Contractor",475
Fatima,Hussain,fatima.hussain@certnif.co,"Employee - FT",476
Gavin,Strickland,gavin.strickland@certnif.co,"Employee - PT",477
Helena,Cross,helena.cross@certnif.co,"Employee - FT",478
Isaac,Drummond,isaac.drummond@certnif.co,"Contractor",479
Jade,Worthington,jade.worthington@certnif.co,"Employee - FT",480
Kevin,Lam,kevin.lam@certnif.co,"Employee - PT",481
Lena,Sorensen,lena.sorensen@certnif.co,"Employee - FT",482
Miles,Okafor,miles.okafor@certnif.co,"Contractor",483
Nina,Castellano,nina.castellano@certnif.co,"Employee - FT",484
Oscar,Fleming,oscar.fleming@certnif.co,"Employee - PT",485
Petra,Novak,petra.novak@certnif.co,"Employee - FT",486
Quinn,Adeyemi,quinn.adeyemi@certnif.co,"Contractor",487
Rachel,Thornton,rachel.thornton@certnif.co,"Employee - FT",488
Samuel,Ibarra,samuel.ibarra@certnif.co,"Employee - PT",489
Tara,Weston,tara.weston@certnif.co,"Employee - FT",490
Ulric,Johansson,ulric.johansson@certnif.co,"Contractor",491
Vera,Nakamura,vera.nakamura@certnif.co,"Employee - FT",492
Will,Eze,will.eze@certnif.co,"Employee - PT",493
Xena,Pemberton,xena.pemberton@certnif.co,"Employee - FT",494
Yusuf,Diallo,yusuf.diallo@certnif.co,"Contractor",495
Zoe,Harrington,zoe.harrington@certnif.co,"Employee - FT",496
Adam,Svensson,adam.svensson@certnif.co,"Employee - PT",497
